,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Barguzin,49,RU,1569500897,93,53.62,109.63,5.17,0.09
375,Sola,100,TZ,1569500898,26,-3.17,33.8,31.27,4.3
376,Katsuura,75,JP,1569500899,78,33.93,134.5,25.0,4.1
377,Knyaze-Volkonskoye,0,RU,1569500901,61,48.46,135.46,10.0,4.0
378,Ikwiriri,97,TZ,1569500902,34,-7.96,38.99,32.07,2.65
379,Chhatapur,100,IN,1569500904,66,23.07,86.96,20.0,1.97
380,Kobe,0,JP,1569500905,73,34.69,135.19,26.0,5.1
381,Darnah,0,LY,1569500907,71,32.77,22.64,24.67,5.17
382,Calama,0,CL,1569500909,11,-22.46,-68.93,14.0,9.3
383,Ilanskiy,67,RU,1569500910,73,56.24,96.06,5.07,3.69
384,Port Macquarie,85,AU,1569500630,93,-31.43,152.91,15.56,1.5
385,Khairabad,0,AF,1569500914,10,36.84,66.1,36.67,2.52
386,Traverse City,40,US,1569500829,76,44.76,-85.62,15.0,4.1
387,Cap Malheureux,75,MU,1569500917,100,-19.98,57.61,25.0,6.7
388,Menongue,84,AO,1569500918,18,-14.66,17.68,31.67,4.46
389,Laureles,5,MX,1569500919,88,29.18,-110.87,24.0,2.1
390,Onega,53,RU,1569500920,74,63.91,38.09,7.57,5.69
391,Lawrenceburg,90,US,1569500921,100,35.24,-87.33,22.0,1.68
392,Amga,91,RU,1569500923,92,60.89,131.98,3.67,2.23
393,Serenje,85,ZM,1569500924,45,-13.23,30.22,21.17,5.13
394,Gonda,99,IN,1569500925,93,27.13,81.96,23.57,5.75
395,Teknaf,100,BD,1569500926,73,20.86,92.31,28.37,3.39
396,Ha Tinh,10,VN,1569500927,77,18.33,105.9,23.77,1.06
397,Yeppoon,28,AU,1569500930,72,-23.13,150.74,20.0,2.6
398,Jhalu,14,IN,1569500932,75,29.35,78.25,28.37,2.87
399,Bandar-e Lengeh,40,IR,1569500762,63,26.56,54.88,35.0,4.1
400,Half Moon Bay,1,US,1569500934,68,37.46,-122.43,20.0,4.64
401,Deoli,100,IN,1569500935,73,25.76,75.37,28.87,2.97
402,Sarahan,51,IN,1569500937,90,31.51,77.79,16.47,1.53
403,Port Moresby,43,PG,1569500834,85,-9.47,147.16,25.17,11.44
404,Ostrovnoy,100,RU,1569500939,84,68.05,39.51,4.07,7.87
405,Coihaique,100,CL,1569500940,99,-45.58,-72.07,7.0,1.5
406,Caohai,37,CN,1569500941,89,26.87,104.28,10.87,2.2
407,Samarai,98,PG,1569500942,93,-10.62,150.67,23.37,3.32
408,Baykit,100,RU,1569500944,89,61.68,96.39,0.87,1.29
409,Datong,63,CN,1569500945,42,40.09,113.3,17.47,2.98
410,Saint-Francois,75,FR,1569500946,56,46.42,3.91,21.0,3.1
411,Maine-Soroa,83,NE,1569500948,29,13.21,12.02,35.67,2.47
412,Margate,0,AU,1569500949,54,-43.03,147.26,13.89,4.1
413,Mackay,75,CA,1569500951,100,53.65,-115.58,5.0,2.1
414,Khanu Woralaksaburi,5,TH,1569500952,81,16.06,99.86,25.37,1.31
415,Andradina,100,BR,1569500953,84,-20.89,-51.38,20.27,1.8
416,Port Hardy,90,CA,1569500954,87,50.7,-127.42,11.0,4.6
417,Acapulco,40,MX,1569500956,88,16.86,-99.88,26.0,2.6
418,Bagdarin,100,RU,1569500958,74,54.44,113.59,9.57,2.71
419,Matara,74,BI,1569500959,51,-3.48,29.48,19.57,3.48
420,Nyurba,50,RU,1569500960,84,63.29,118.35,3.27,2.68
421,Lasa,20,CY,1569500961,66,34.92,32.53,29.0,4.6
422,Lima,90,PE,1569500104,93,-12.06,-77.04,16.0,3.1
423,Berezivka,100,UA,1569500963,49,47.2,30.91,16.47,6.13
424,Ayni,0,TJ,1569500965,19,39.39,68.54,18.67,5.03
425,Pinsk,100,BY,1569500966,94,52.11,26.1,10.87,2.27
426,Praia,90,BR,1569500967,82,-20.25,-43.81,17.0,2.6
427,Neepawa,75,CA,1569500968,93,50.23,-99.46,5.0,4.1
428,Canutama,100,BR,1569500969,84,-6.53,-64.38,25.67,0.52
429,Jijiga,77,ET,1569500971,51,9.35,42.8,22.77,1.54
430,Evensk,100,RU,1569500972,66,61.92,159.24,1.47,5.94
431,Shulan,0,CN,1569500973,88,44.41,126.94,17.37,2.54
432,Sambava,43,MG,1569500974,53,-14.27,50.17,26.57,3.27
433,Tilichiki,93,RU,1569500975,90,60.47,166.1,3.47,5.03
434,Awjilah,0,LY,1569500976,26,29.14,21.3,33.57,4.32
435,Vieste,75,IT,1569500978,58,41.88,16.18,28.0,5.7
436,Campo Grande,75,BR,1569500979,88,-20.46,-54.62,20.0,3.1
437,Naze,75,NG,1569500980,70,5.43,7.07,31.0,2.1
438,Bin Qirdan,0,TN,1569500984,36,33.14,11.22,33.17,4.44
439,Mionica,75,RS,1569500985,87,44.25,20.09,21.0,6.2
440,Faya,40,SA,1569500986,15,18.39,42.45,29.0,7.2
441,Bonavista,100,CA,1569500987,85,48.65,-53.11,10.0,0.89
442,Stabat,10,ID,1569500988,48,3.76,98.46,28.89,0.29
443,Diamantino,99,BR,1569500990,86,-14.4,-56.44,23.27,0.67
444,Den Helder,75,NL,1569500991,93,52.96,4.76,17.78,7.2
445,Umm Lajj,0,SA,1569500992,74,25.02,37.27,29.07,7.56
446,Outjo,45,NA,1569500993,15,-20.11,16.16,30.47,6.44
447,Bonaberi,75,CM,1569500994,78,4.08,9.66,28.0,1.5
448,Sri Aman,98,MY,1569500997,100,1.24,111.46,25.56,1.03
449,Gornopravdinsk,97,RU,1569500998,74,60.06,69.92,3.67,4.82
450,Martapura,20,ID,1569500999,78,-3.41,114.85,27.0,2.1
451,Kalmunai,44,LK,1569501001,72,7.42,81.82,27.37,2.96
452,Daru,100,PG,1569501002,87,-9.07,143.21,23.97,4.6
453,Elliot,0,ZA,1569501004,6,-31.33,27.85,24.87,2.67
454,Coruripe,93,BR,1569501005,61,-10.12,-36.18,26.67,4.35
455,Atar,0,MR,1569501006,7,20.52,-13.05,42.07,6.67
456,Gizo,0,IL,1569501014,62,31.8,34.94,30.56,5.7
457,Antananarivo,75,MG,1569501017,39,-18.91,47.53,26.0,5.1
458,Poum,75,MK,1569501018,68,41.28,20.71,20.0,1.5
459,Oranjestad,20,AW,1569501020,79,12.52,-70.03,29.0,2.6
460,Kyzyl-Suu,8,KG,1569501022,57,42.34,78.0,19.27,2.66
461,Forio,40,IT,1569501023,64,40.73,13.86,27.0,1.0
462,Murashi,100,RU,1569501028,83,59.4,48.97,3.07,4.97
463,Aitape,20,PG,1569501030,86,-3.15,142.36,26.07,2.28
464,Hofn,90,IS,1569501031,87,64.25,-15.21,12.0,6.2
465,Paamiut,0,GL,1569501033,59,61.99,-49.67,5.97,0.85
466,Aquin,51,HT,1569501034,86,18.28,-73.39,25.77,3.05
467,Quatre Cocos,75,MU,1569501035,100,-20.21,57.76,25.0,6.7
468,Waiuku,83,NZ,1569501036,76,-37.25,174.73,12.22,11.3
469,Chara,40,GR,1569501038,37,39.42,22.43,30.0,1.76
470,Kiunga,100,PG,1569501039,97,-6.12,141.3,23.57,3.0
471,Pandan,0,PH,1569501040,67,11.72,122.09,28.07,1.21
472,Muncar,58,ID,1569501041,95,-8.43,114.34,21.37,0.88
473,Parkersburg,75,US,1569500950,72,39.27,-81.55,18.0,1.5
474,Anage,42,BR,1569501043,61,-14.61,-41.14,23.27,3.51
475,Oriximina,83,BR,1569501047,68,-1.77,-55.87,28.67,1.23
476,Sangar,100,RU,1569501048,98,63.92,127.47,6.17,2.02
477,Komsomolskiy,100,RU,1569501049,92,67.55,63.78,1.07,2.59
478,Poya,52,NC,1569501050,79,-21.35,165.16,20.27,7.45
479,Manama,0,AE,1569501052,47,25.33,56.02,36.0,6.2
480,Alvorada,75,BR,1569501053,82,-30.0,-51.08,18.0,3.1
481,Plavinas,2,LV,1569501054,47,56.62,25.73,13.27,1.31
482,Yerbogachen,64,RU,1569501055,65,61.28,108.01,3.97,1.84
483,Flagstaff,90,US,1569500845,87,35.2,-111.65,16.11,2.1
484,Mogadouro,100,PT,1569501057,42,41.34,-6.71,20.37,1.96
485,Majene,38,ID,1569501059,71,-3.54,118.97,28.57,1.69
486,Huambo,0,AO,1569501060,39,-12.78,15.73,28.0,5.1
487,Behat,75,IN,1569501061,83,30.17,77.62,26.0,2.1
488,Arsk,75,RU,1569501063,61,56.09,49.88,7.0,5.0
489,Zwedru,93,LR,1569501065,59,6.07,-8.13,31.27,1.29
490,Vila Velha,40,BR,1569501066,55,-3.71,-38.6,30.0,9.3
491,Golden,20,US,1569501067,81,39.76,-105.22,8.33,4.67
492,Antofagasta,90,CL,1569500935,76,-23.65,-70.4,13.0,1.0
493,Batagay,100,RU,1569501071,73,67.65,134.64,1.67,1.52
494,Taman,40,RU,1569501072,82,45.22,36.72,16.0,5.0
495,Tahe,0,CN,1569501074,89,52.34,124.71,10.47,1.69
496,Khromtau,100,KZ,1569501075,38,50.26,58.44,9.07,1.35
497,San Quintin,100,PH,1569501076,87,17.54,120.52,24.97,1.06
498,Iquique,90,CL,1569501078,72,-20.22,-70.14,15.0,2.1
499,Adrar,0,DZ,1569501079,5,27.87,-0.29,44.0,4.6
500,Pascagoula,75,US,1569501080,88,30.37,-88.56,25.0,1.23
501,Butia,75,BR,1569501082,100,-21.88,-47.57,17.0,0.5
502,Manitouwadge,90,CA,1569501083,100,49.12,-85.84,8.0,2.1
503,Norman Wells,40,CA,1569501084,92,65.28,-126.83,-1.0,1.0
504,Novi Sanzhary,97,UA,1569501085,30,49.33,34.31,18.87,5.11
505,Viedma,48,AR,1569501086,66,-40.81,-62.99,12.97,6.64
506,Rincon,40,PA,1569501088,100,8.46,-82.28,24.0,1.0
507,Kununurra,0,AU,1569501089,51,-15.77,128.74,29.0,2.1
508,Panubigan,20,PH,1569501091,78,7.13,122.25,28.0,0.61
509,Petropavlovsk-Kamchatskiy,24,RU,1569501093,70,53.05,158.65,6.0,4.0
510,Manggar,99,ID,1569501095,81,-2.88,108.27,25.67,1.93
511,Bowen,40,AU,1569501096,82,-20.01,148.25,20.0,3.6
512,Zasheyek,100,RU,1569501097,73,67.41,32.55,6.67,1.93
513,Galle,93,GN,1569501101,73,10.08,-12.83,27.77,1.45
514,Balkhash,0,KZ,1569501102,30,46.84,74.98,20.0,4.0
515,Opuwo,0,NA,1569501103,12,-18.06,13.84,34.67,7.57
516,Kpandu,100,GH,1569501105,64,7.0,0.29,31.17,1.33
517,Springbok,0,ZA,1569501106,9,-29.67,17.88,37.37,7.88
518,Kenai,1,US,1569501025,45,60.55,-151.26,8.0,4.1
519,Sao Felix do Xingu,62,BR,1569501110,76,-6.64,-51.99,24.87,1.22
520,Shubarshi,100,KZ,1569501111,52,48.59,57.19,13.97,0.95
521,Great Falls,90,US,1569501071,26,47.5,-111.29,15.56,10.8
522,Mareeba,85,AU,1569501113,78,-16.99,145.42,22.22,3.6
523,Kupang,20,ID,1569501114,83,-10.16,123.6,26.0,2.1
524,Santa Fe,2,AR,1569501116,33,-31.62,-60.7,23.89,1.79
525,Inhambane,75,MZ,1569501025,53,-23.87,35.38,22.0,8.2
526,Iraray,54,PH,1569501118,83,8.99,118.05,25.77,1.1
527,Benghazi,0,LY,1569501120,66,32.12,20.07,25.27,4.44
528,Miles City,1,US,1569501121,86,46.41,-105.84,6.11,4.1
529,Vila,40,IT,1569501123,77,45.18,8.4,25.0,3.1
530,Ca Mau,100,VN,1569501125,85,9.18,105.15,26.17,2.2
531,Det Udom,0,TH,1569501126,70,14.9,105.08,29.0,4.6
532,Luwuk,100,ID,1569501127,98,-0.95,122.79,17.77,1.88
533,Virginia Beach,20,US,1569501129,83,36.85,-75.98,23.33,3.1
534,Areosa,75,PT,1569501130,68,41.72,-8.86,21.67,2.1
535,Kokino,75,MK,1569501132,50,42.26,21.95,25.0,2.96
536,Upernavik,100,GL,1569501134,55,72.79,-56.15,2.27,5.37
537,Chapais,90,CA,1569501138,93,49.78,-74.86,11.0,2.1
538,Wanning,40,AT,1569501139,59,48.64,13.53,20.0,5.1
539,Red Wing,1,US,1569500919,81,44.56,-92.53,10.0,3.61
540,Tevriz,82,RU,1569501143,72,57.51,72.4,5.77,3.4
541,Aldan,85,RU,1569501144,90,58.61,125.39,8.57,3.33
542,Nakusp,100,CA,1569501146,98,50.24,-117.8,8.33,0.5
543,Mecca,73,SA,1569500890,24,21.43,39.83,40.07,6.52
